model,scenario,Category
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,C1
IMAGE 3.0.1,ADVANCE_2020_WB2C,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900,C3
AIM/CGE 2.2,EN_INDCi2030_1200,C4
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-minCDR,C3
COFFEE 1.1,EN_INDCi2030_500,C3
GCAM 5.3,R_MAC_70_n0,C4
GCAM 5.3,R_MAC_80_n8,C4
GEM-E3_V2021,EN_INDCi2030_1000,C3
GEM-E3_V2021,EN_INDCi2030_1000_COV,C3
IMAGE 3.0,CO_2Deg2030,C3
COFFEE 1.1,EN_NPi2020_700,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_NDCp,C3
GCAM 5.3,R_MAC_55_n0,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,C1
WITCH 5.0,EN_NPi2020_450,C1
IMAGE 3.2,SSP1_SPA1_19I_D,C2
IMAGE 3.2,SSP2_SPA2_19I_LIRE,C2
WITCH 5.0,EN_NPi2020_1000f,C3
POLES EMF33,EMF33_Med2C_nobeccs,C3
TIAM-ECN 1.1,EN_INDCi2030_1000,C3
TIAM-ECN 1.1,EN_INDCi2030_1000_COV,C3
POLES ENGAGE,EN_NPi2020_700f,C3
IMAGE 3.0,EN_NPi2020_1000f,C3
IMAGE 3.0,EN_NPi2020_1000,C3
IMAGE 3.2,SSP1_SPA1_19I_LI,C2
IMAGE 3.0.1,SSP2-26,C3
TIAM-ECN 1.1,EN_INDCi2030_900,C3
IMAGE 3.0.2,EMF33_WB2C_limbio,C3
GCAM 5.3,NGFS2_Below 2°C,C3
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR4p,C3
WITCH 5.0,EN_INDCi2030_1000,C3
WITCH 5.0,EN_INDCi2030_1000_NDCp,C3
AIM/CGE 2.2,EN_INDCi2030_1200f,C4
GEM-E3_V2021,EN_INDCi2030_1000f_COV,C3
GEM-E3_V2021,EN_INDCi2030_1000f_COV_NDCp,C3
GEM-E3_V2021,EN_NPi2020_1000f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000,C3
IMAGE 3.0.1,EMF30_Slower-to-faster,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,C3
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,C3
GCAM 5.3,R_MAC_85_n8,C4
GCAM 5.3,R_MAC_65_n8,C3
IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF,C3
IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF+HFC,C3
TIAM-ECN 1.1,EN_INDCi2030_1000_NDCp,C3
AIM/CGE 2.2,EN_INDCi2030_1400,C4
AIM/CGE 2.0,SSP4-26,C3
COFFEE 1.1,EN_INDCi2030_600,C3
COFFEE 1.1,EN_INDCi2030_600_NDCp,C3
WITCH 5.0,EN_NPi2020_500,C1
POLES GECO2019,CO_2Deg2020,C3
GCAM 5.3,R_MAC_75_n0,C4
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,C3
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,C3
TIAM-ECN 1.1,EN_NPi2020_900,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f,C3
TIAM-ECN 1.1,EN_INDCi2030_1200f,C3
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3
IMAGE 3.0,EN_INDCi2030_1200f,C4
IMAGE 3.0.1,EMF30_ClimPolicy+SLCF,C3
MESSAGEix-GLOBIOM_1.1,NGFS2_Below 2°C,C3
MESSAGEix-GLOBIOM_1.2,COV_Restore_1000,C3
GCAM 4.2,SSP1-19,C1
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,C3
AIM/CGE 2.2,EN_NPi2020_1200f,C4
GCAM 5.3,R_MAC_90_n8,C4
GEM-E3_V2021,EN_NPi2020_800f,C3
GEM-E3_V2021,EN_NPi2020_1000,C3
WITCH 5.0,EN_NPi2020_400f,C1
POLES ENGAGE,EN_INDCi2030_1000f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR3p,C3
IMAGE 3.0.1,EMF30_ClimPolicy,C3
AIM/CGE 2.2,EN_INDCi2030_1400f,C4
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_1000,C3
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full,C4
GCAM 5.3,R_MAC_60_n0,C3
AIM/CGE 2.0,SSP1-26,C3
AIM/CGE 2.2,EN_NPi2020_900,C3
TIAM-ECN 1.1,EN_NPi2020_1400f,C4
AIM/CGE 2.2,EN_NPi2020_1400,C4
COFFEE 1.1,EN_INDCi2030_700,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR10p,C3
IMAGE 3.2,SSP1_SPA1_26I_LI,C3
REMIND 2.1,R2p1_SSP2-PkBudg1300,C3
GCAM 5.3,R_MAC_80_n0,C4
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f_COV,C3
IMAGE 3.0.1,EMF30_D_CO2-Only,C5
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV_NDCp,C3
WITCH 5.0,EN_NPi2020_450f,C1
IMAGE 3.2,SSP2_SPA2_26I_RE,C3
MESSAGEix-GLOBIOM_1.2,COV_SmartUse_1000,C3
POLES ENGAGE,EN_INDCi2030_1000f_COV_NDCp,C4
POLES ENGAGE,EN_NPi2020_1200f,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_COV,C3
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_1000,C3
IMAGE 3.2,SSP2_SPA2_19I_D,C2
COFFEE 1.1,EN_NPi2020_800,C3
TIAM-ECN 1.1,EN_INDCi2030_1400,C4
TIAM-ECN 1.1,EN_INDCi2030_1400f,C4
AIM/CGE 2.2,EN_NPi2020_1400f,C4
REMIND 2.1,CEMICS_GDPgrowth_2C,C3
REMIND 1.7,ADVANCE_2030_Med2C,C4
TIAM-ECN 1.1,EN_NPi2020_1600f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_NDCp,C4
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,C3
TIAM-ECN 1.1,EN_INDCi2030_1600f,C5
IMAGE 3.2,SSP2_SPA2_26I_LIRE,C3
AIM/CGE 2.2,EN_INDCi2030_1600f,C5
GCAM 5.3,R_MAC_95_n8,C4
REMIND 2.1,CEMICS_Linear_2C,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,C3
GEM-E3_V2021,EN_NPi2020_1000_COV,C3
GCAM 5.3,R_MAC_70_n8,C3
POLES ENGAGE,EN_INDCi2030_1200f,C4
IMAGE 3.2,SSP1_SPA1_26I_RE,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,C3
TIAM-ECN 1.1,EN_INDCi2030_1200,C3
IMAGE 3.0.2,EMF33_WB2C_nofuel,C3
IMAGE 3.0,EN_INDCi2030_1400f,C4
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C,C4
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,C3
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,C3
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,C3
WITCH 5.0,EN_INDCi2030_1200,C4
AIM/CGE 2.2,EN_INDCi2030_1600,C5
COFFEE 1.1,EN_INDCi2030_1000,C4
COFFEE 1.1,EN_INDCi2030_1000_NDCp,C4
COFFEE 1.1,EN_INDCi2030_800,C3
COFFEE 1.1,EN_INDCi2030_900,C3
COFFEE 1.1,EN_NPi2020_1000,C4
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50,C3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,C3
GCAM 5.3,R_MAC_85_n0,C5
GEM-E3_V2021,EN_INDCi2030_1000_NDCp,C3
IMAGE 3.0,EN_NPi2020_1200f,C4
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV_NDCp,C3
IMAGE 3.0.2,EMF33_WB2C_full,C3
IMAGE 3.0.2,EMF33_WB2C_nobeccs,C3
GCAM 5.3,R_MAC_65_n0,C3
IMAGE 3.2,SSP1_SPA1_26I_D,C3
IMAGE 3.2,SSP2_SPA0_26I_D,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp,C3
WITCH 5.0,EN_INDCi2030_1200_NDCp,C4
TIAM-ECN 1.1,EN_NPi2020_1000,C3
TIAM-ECN 1.1,EN_NPi2020_1000_COV,C3
IMAGE 3.2,SSP1_SPA1_26I_LIRE,C3
REMIND 2.1,R2p1_SSP5-PkBudg1300,C3
GCAM 5.3,R_MAC_99_n8,C5
IMAGE 3.0.2,EMF33_WB2C_cost100,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f,C5
AIM/CGE 2.2,EN_NPi2020_1600f,C5
IMAGE 3.0,EN_NPi2020_1400f,C4
TIAM-ECN 1.1,EN_NPi2020_800f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f,C3
COFFEE 1.1,EN_NPi2020_2000f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_NDCp,C5
POLES ENGAGE,EN_NPi2020_1400f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR4p,C3
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,C3
AIM/CGE 2.2,EN_NPi2020_1600,C5
COFFEE 1.1,EN_INDCi2030_1200,C4
COFFEE 1.1,EN_INDCi2030_1400,C5
COFFEE 1.1,EN_INDCi2030_2000f,C5
COFFEE 1.1,EN_NPi2020_1200,C4
COFFEE 1.1,EN_NPi2020_1400,C5
GCAM 5.3,R_MAC_90_n0,C5
IMAGE 3.0,EN_INDCi2030_1200,C4
IMAGE 3.0,EN_NPi2020_1200,C4
IMAGE 3.0.2,EMF33_tax_hi_full,C4
MESSAGE-GLOBIOM 1.0,SSP3-34,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f_COV,C3
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f_COV,C4
POLES ENGAGE,EN_INDCi2030_900,C3
REMIND 2.1,CEMICS_opt_2C,C3
WITCH 5.0,EN_NPi2020_500f,C1
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp,C3
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,C3
TIAM-ECN 1.1,EN_INDCi2030_1600,C4
TIAM-ECN 1.1,EN_NPi2020_1400,C4
TIAM-ECN 1.1,EN_NPi2020_1600,C4
TIAM-ECN 1.1,EN_NPi2020_2000f,C5
GEM-E3_V2021,EN_INDCi2030_1400f,C4
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200f,C3
REMIND-MAgPIE 1.5,SSP2-34,C5
GCAM 5.3,R_MAC_75_n8,C3
WITCH 5.0,EN_NPi2020_1200f,C4
GEM-E3_V2021,EN_NPi2020_1400f,C4
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV_NDCp,C5
POLES ENGAGE,EN_INDCi2030_1400f,C5
WITCH 5.0,EN_NPi2020_1200,C4
WITCH 5.0,EN_INDCi2030_1400,C4
WITCH 5.0,EN_INDCi2030_1400f_NDCp,C4
COFFEE 1.1,EN_NPi2020_1600,C5
IMAGE 3.0,EN_INDCi2030_1000,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f_COV,C5
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,C4
WITCH 5.0,EN_INDCi2030_1400_NDCp,C4
WITCH 5.0,EN_INDCi2030_1400f,C4
COFFEE 1.1,EN_INDCi2030_1600,C5
COFFEE 1.1,EN_INDCi2030_1800,C5
COFFEE 1.1,EN_INDCi2030_2000,C5
COFFEE 1.1,EN_NPi2020_1800,C5
COFFEE 1.1,EN_NPi2020_2000,C5
GCAM 5.3,R_MAC_95_n0,C5
GEM-E3_V2021,EN_INDCi2030_1400,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f,C5
POLES ENGAGE,EN_NPi2020_1000_COV,C4
REMIND-MAgPIE 1.5,SSP1-34,C5
AIM/CGE 2.2,EN_NPi2020_700f,C3
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50,C3
TIAM-ECN 1.1,EN_NPi2020_2000,C5
REMIND 2.1,CEMICS_HotellingConst_2C,C3
IMAGE 3.0,EN_NPi2020_1400,C4
IMAGE 3.0.1,CD-LINKS_INDC2030i_1600,C4
MESSAGE-GLOBIOM 1.0,SSP2-34,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000f_COV_NDCp,C5
IMAGE 3.2,SSP2_SPA2_26I_LI,C3
REMIND 1.7,ADVANCE_2020_Med2C,C3
GEM-E3_V2021,EN_NPi2020_1400,C5
POLES ADVANCE,ADVANCE_2030_Med2C,C3
IMAGE 3.0.1,ADVANCE_2030_Med2C,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f_COV,C5
GEM-E3_V2021,EN_NPi2020_1000f_COV,C3
POLES ENGAGE,EN_NPi2020_1600f,C5
COFFEE 1.1,EN_NPi2020_900,C3
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,C3
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1600,C3
POLES ENGAGE,EN_NPi2020_1400,C5
AIM/CGE 2.2,EN_NPi2020_1000,C3
GCAM 5.3,R_MAC_99_n0,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2000_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000_COV,C5
POLES ENGAGE,EN_INDCi2030_1000,C4
POLES ENGAGE,EN_INDCi2030_1000_COV,C4
POLES ENGAGE,EN_INDCi2030_1000_COV_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1000_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1200,C4
POLES ENGAGE,EN_INDCi2030_1400,C5
POLES ENGAGE,EN_NPi2020_1000,C4
POLES ENGAGE,EN_NPi2020_1600,C5
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f,C3
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP5_P50,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,C3
WITCH 5.0,EN_NPi2020_1400f,C4
AIM/CGE 2.0,SSP1-34,C5
AIM/CGE 2.0,SSP1-45,C6
REMIND-MAgPIE 1.5,SSP2-Baseline,C7
AIM/CGE 2.0,SSP4-34,C5
AIM/CGE 2.0,SSP4-45,C6
WITCH-GLOBIOM 4.4,CD-LINKS_NoPolicy,C7
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NoPolicy,C7
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,C5
AIM/CGE 2.1,CO_Bridge,C3
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-SLCF,C7
AIM/CGE 2.2,EN_INDCi2030_1800,C5
AIM/CGE 2.2,EN_INDCi2030_1800f,C5
AIM/CGE 2.2,EN_INDCi2100,C6
AIM/CGE 2.2,EN_NPi2020_1800,C5
AIM/CGE 2.2,EN_NPi2020_1800f,C5
REMIND-MAgPIE 1.7-3.0,CO_BAU,C7
AIM/Hub-Global 2.0,2.5C,C6
AIM/Hub-Global 2.0,2C,C5
REMIND-MAgPIE 1.7-3.0,PEP_NoPolicy,C7
C-ROADS-5.005,Reference,C8
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-CH4,C7
COFFEE 1.1,CO_CurPol,C6
COFFEE 1.1,CO_GPP,C5
COFFEE 1.1,CO_NDCplus,C6
COFFEE 1.1,EN_INDCi2030_2500,C6
COFFEE 1.1,EN_INDCi2030_2500f,C6
COFFEE 1.1,EN_INDCi2100,C6
COFFEE 1.1,EN_INDCi2100_COV_NDCp,C6
COFFEE 1.1,EN_NPi2020_2500,C6
COFFEE 1.1,EN_NPi2020_2500f,C6
COFFEE 1.1,EN_NPi2100,C6
EPPA 6,2CNow_Gradual,C4
EPPA 6,Paris1.5C_OptTax,C3
EPPA 6,Paris2C_Gradual,C4
EPPA 6,Paris2C_OptTax,C4
EPPA 6,ParisFlat,C6
AIM/CGE 2.2,EN_NPi2100,C7
IMAGE 3.0.1,SSP3-Baseline,C7
GCAM 4.2,SSP3-Baseline,C8
REMIND-MAgPIE 1.7-3.0,SMP_REF_Def,C7
REMIND 1.7,ADVANCE_NoPolicy,C7
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,C7
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5
IMAGE 3.0.1,EMF30_D_Frozen-EF-SLCF,C7
REMIND-MAgPIE 2.0-4.1,Diff_No-policy_baseline,C7
GCAM-PR 5.3,PR_NDC_PriceOnly,C6
REMIND 1.6,EMF30_Baseline,C7
GEM-E3_V2021,EN_INDCi2030_1800,C5
GEM-E3_V2021,EN_INDCi2030_1800f,C5
REMIND 1.6,EMF30_D_BCOC-Red,C7
GEM-E3_V2021,EN_INDCi2100_COV,C6
GEM-E3_V2021,EN_INDCi2100_COV_NDCp,C6
GEM-E3_V2021,EN_INDCi2100_NDCp,C6
GEM-E3_V2021,EN_NPi2020_1800,C5
GEM-E3_V2021,EN_NPi2020_1800f,C5
IMAGE 3.0.1,EMF30_D_Frozen-CH4,C7
REMIND 1.6,EMF30_BCOC-EndU,C7
EPPA 6,Ref,C7
REMIND 1.7,CEMICS-Ref,C7
IMAGE 3.0,CO_GPP,C5
REMIND 1.6,EMF30_D_Frozen-EF-EndU,C7
IMAGE 3.0,EN_INDCi2030_1400,C5
IMAGE 3.0,EN_INDCi2030_3000,C6
IMAGE 3.0,EN_INDCi2030_3000f,C6
REMIND-Buildings 2.0,BEG-Base,C7
IMAGE 3.0,EN_NPi2020_3000,C6
IMAGE 3.0,EN_NPi2020_3000f,C6
IMAGE 3.0.1,SSP2-Baseline,C7
IMAGE 3.0.2,EMF33_Baseline,C7
IMAGE 3.0.1,ADVANCE_2020_Med2C,C4
IMAGE 3.0.1,ADVANCE_INDC,C6
IMAGE 3.0.1,EMF30_BCOC-EndU,C7
IMAGE 3.0.1,EMF30_D_Frozen-EF-EndU,C7
IMAGE 3.0.1,ADVANCE_NoPolicy,C7
REMIND-Buildings 2.0,BEG-EG,C7
IMAGE 3.0.1,CD-LINKS_NoPolicy,C7
MESSAGE-GLOBIOM 1.0,EMF30_BCOC-EndU,C7
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NoPolicy,C7
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF,C7
MESSAGE-GLOBIOM 1.0,EMF30_Baseline,C7
MESSAGE-GLOBIOM 1.0,EMF30_D_BCOC-Red,C7
IMAGE 3.2,SSP3-baseline,C7
IMAGE 3.0,CO_BAU,C7
IMAGE 3.0,EN_NoPolicy,C7
MESSAGE-GLOBIOM 1.0,EMF33_Baseline,C7
IMAGE 3.0.1,EMF30_Baseline,C7
IMAGE 3.0.1,EMF30_Slower-Action,C6
IMAGE 3.0.1,EMF30_Slower-Action+SLCF,C6
IMAGE 3.0.1,SSP1-45,C6
IMAGE 3.0.1,EMF30_D_BCOC-Red,C7
IMAGE 3.0.1,SSP2-34,C5
IMAGE 3.0.1,SSP2-45,C6
MESSAGE-GLOBIOM 1.0,SSP2-Baseline,C7
POLES ADVANCE,ADVANCE_NoPolicy,C7
IMAGE 3.0.1,SSP3-34,C5
IMAGE 3.0.1,SSP3-45,C6
REMIND-MAgPIE 2.1-4.2,EN_NoPolicy,C7
REMIND 2.1,R2p1_SSP2-Base,C7
IMAGE 3.0.1,SSP4-34,C5
IMAGE 3.0.1,SSP4-45,C6
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_max_GDP,C7
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF,C7
IMAGE 3.0.1,SSP5-34,C5
IMAGE 3.0.1,SSP5-45,C6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,C7
IMAGE 3.0.1,SSP5-Baseline,C8
WITCH-GLOBIOM 4.2,EMF30_SLCF,C7
IMAGE 3.0.2,EMF33_Med2C_cost100,C5
IMAGE 3.0.2,EMF33_Med2C_full,C5
IMAGE 3.0.2,EMF33_Med2C_limbio,C5
IMAGE 3.0.2,EMF33_Med2C_nobeccs,C4
IMAGE 3.0.2,EMF33_Med2C_nofuel,C4
IMAGE 3.0.2,EMF33_Med2C_none,C4
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3
MESSAGE-GLOBIOM 1.0,SSP2-26,C3
IMAGE 3.0.2,EMF33_tax_hi_none,C5
IMAGE 3.0.2,EMF33_tax_lo_full,C5
IMAGE 3.0.2,EMF33_tax_lo_none,C5
WITCH-GLOBIOM 4.2,EMF30_CH4-Only,C7
IMAGE 3.2,SSP1_SPA1_34I_D,C5
IMAGE 3.2,SSP1_SPA1_34I_LI,C5
IMAGE 3.2,SSP1_SPA1_34I_LIRE,C5
IMAGE 3.2,SSP1_SPA1_34I_RE,C5
GCAM 5.3,R_BAU,C7
IMAGE 3.2,SSP2_SPA2_34I_D,C5
IMAGE 3.2,SSP2_SPA2_34I_LI,C5
IMAGE 3.2,SSP2_SPA2_34I_LIRE,C5
IMAGE 3.2,SSP2_SPA2_34I_RE,C5
IMAGE 3.2,SSP2_SPA2_45I_D,C6
IMAGE 3.2,SSP2_SPA2_45I_LI,C6
IMAGE 3.2,SSP2_SPA2_45I_LIRE,C6
IMAGE 3.2,SSP2_SPA2_45I_RE,C6
GCAM 4.2,SSP4-Baseline,C7
POLES CD-LINKS,CD-LINKS_NoPolicy,C7
IMAGE 3.2,SSP5-baseline,C8
MESSAGE-GLOBIOM 1.0,ADVANCE_INDC,C5
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,C6
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-EndU,C7
GCAM-PR 5.3,PR_baseline,C7
AIM/Hub-Global 2.0,Baseline,C7
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_max_GDP,C7
IMAGE 3.0,CO_CurPol,C7
POLES GECO2019,CO_BAU,C7
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,C7
POLES ADVANCE,ADVANCE_Reference,C7
MESSAGE-GLOBIOM 1.0,EMF30_Slower-Action,C5
WITCH 5.0,CO_BAU,C7
POLES EMF33,EMF33_Med2C_limbio,C3
AIM/CGE 2.2,EN_NPi2020_800f,C3
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,C4
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full,C5
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_none,C5
MESSAGE-GLOBIOM 1.0,SSP1-45,C6
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID,C7
MESSAGE-GLOBIOM 1.0,SSP2-45,C6
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance,C7
POLES ENGAGE,EN_NPi2100,C7
MESSAGE-GLOBIOM 1.0,SSP3-45,C5
MESSAGE-GLOBIOM 1.0,SSP3-60,C6
